Content_category,Encoded_Value
Animals,0
Art,1
Beauty,2
Business & Careers,3
Cinema/Theatre,4
Comedy,5
Dance,6
Education,7
Family,8
Fashion,9
Fitness,10
Food & Cooking,11
Games,12
Inspirational quotes,13
Lifestyle,14
Literature & Journalism,15
Management & Marketing,16
Media,17
Medical,18
Modeling,19
Music,20
Photography,21
Real Estate,22
Retail,23
Spirituality,24
Sports,25
Technology,26
Travel,27
